2019,2019006,"Less developed regions, excluding least developed countries",,934,,"103,283,821","3,792,703","1,932,473","4,433,706","5,974","79,864","1,328",99,"166,136","1,646","8,488","348,029","186,653","5,751","102,030","46,420","215,537","1,724","16,726","7,029,207","5,055","138,123","47,951","5,443","528,773",267,"6,793","586,220","3,310","4,278","77,897","345,407","4,251","32,339","684,923","1,441,108","20,275","2,281","721,212","96,794","139,028",136,"298,747","79,246",128,"302,574","4,169,245","368,410","136,956","1,412,449","66,042","58,106",59,"33,703","80,762","6,422","74,544","10,416","23,294","10,454","78,172","272,166","17,174","1,880","22,151","109,860","104,184","2,876,312","74,713","91,432","42,100","3,352","93,544","302,982",59,8,"1,701","7,657","567,245","4,238",690,"5,224","9,404","141,963","645,466","363,718",139,"135,446",477,"11,484","10,233","2,070","94,410","179,131","8,473","64,584","656,419",8,"69,849","21,010",912,"11,413,808","3,920,320","171,936","1,037,156","27,370",2,"89,444","386,834","38,159","215,091","636,586","77,970","35,056","1,424","122,503","33,086","944,364","7,707","289,736","331,981","89,517","69,371",112,"13,929",445,"26,943","217,453","1,065,080","1,781","797,157",834,385,"13,194","19,509","21,227","6,617","79,259","12,950",629,"25,951",297,"3,135","192,729","851,055","2,535,104","185,909",67,"1,956,588","127,806","2,402","28,762","345,328","204,019","365,688",72,"199,143","2,715","12,718","13,403","4,690,213","2,444","24,167",229,"756,752","540,208","2,181,376","104,438","303,918","19,866","16,855","337,827","32,110","1,796","147,399","4,042,152","41,504","2,207","12,099","14,051",123,"16,353","16,617",70,"10,018","109,416","90,187","11,072","1,444","9,172","140,576","2,473","2,138","1,661","1,020","650,555","72,823","125,648","350,575","1,114,721","3,774,075","802,323","43,939","21,215","47,182","7,033,737","35,092","187,428","23,743","323,128",106,"3,894","16,699","42,635","171,227","16,111","1,689",600,"319,802","688,095","88,045","461,974","56,840","1,585,571","3,287","198,440","455,383","4,580","1,923,477","270,846","11,819","165,239","1,153,376","137,481","456,699",,,,,
2019,2019007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
2019,2019008,High-income countries,e,1503,,"175,811,829","4,135,205","1,552,536","1,160,945","1,126,602","1,895,453",1,"7,886","244,314","2,491","49,035","807,631","197,331","17,595","508,625","523,801","87,075","45,419","18,199","4,232,247","110,772","350,342","537,546","63,273","35,071","17,919","14,725","799,632","12,491","1,265,956","7,264","1,476,781","4,385","14,640","858,575","31,287","36,641","165,820","367,358","246,819","1,246,157","1,861","21,767","20,759","22,433","568,823","9,874,599","817,785","136,213","1,650,031","40,787","112,581","22,437","127,707","201,675","667,984","1,596,564","117,017","188,267","889,938","20,936","300,524","239,634","12,774","71,947","1,532,280","1,113,802","3,256,059","1,530,907","22,788","301,727","132,812","14,543","697,179","1,572","13,838","220,102","279,095","1,823,427",330,"1,491","26,445","97,839","224,681","3,242,243","490,800","14,208","884,580","18,240","74,135","2,898","1,115","1,114,315","116,682","43,430","487,434","1,050,329",217,"735,833","597,039","41,291","15,046,096","3,033,148","1,176,388","1,066,442","789,463","12,807","271,047","2,793,445","1,107,110","659,667","667,199","1,080,426","384,629","2,618","162,460","102,682","313,869","209,117","775,851","1,607","113,882","122,402","3,683","487,495","74,729","148,973","24,834","1,441,624","1,269","124,925","110,173","8,105",860,"33,556","167,440",4,"11,734,867","21,572","30,816","51,708","66,717","22,336","3,107,561","87,913","488,929","7,301",830,"1,118,055","880,985","4,629","757,607","353,009","22,439","802,598","5,541","404,047","2,600","174,693","11,563","4,943,224","2,294","139,971","218,278","811,785","1,387,304","5,152,804","4,375,050","2,323,472","1,997,391","158,948","1,857,414","359,692","131,135","3,520,780","2,518,586","131,318","5,715","123,385","58,327","2,289","58,974","107,752","2,328","19,896","195,460","355,218","900,370","18,017","130,111","204,013","28,108","337,637","131,589","3,082","522,883","727,375","59,449","1,185,912","1,571,773","198,641","841,245","383,608","336,092","638,061","2,087,861","58,277","896,668","15,459","74,443","2,136","70,674","323,782","800,367","3,354,432","32,771","30,252","1,796","153,765","1,788,784","120,585","3,914,260","143,482","1,977,872","23,935","585,163","185,273","6,717","825,297","2,429,687","11,808","1,230","1,209,849","297,939","325,574",,,,,
2019,2019009,Middle-income countries,e,1517,,"82,237,681","3,182,596","1,680,139","3,945,911","78,991","36,676","1,370",62,"195,663",183,"1,659","205,189","767,316","1,146","67,990","51,900","1,068,605","1,011","41,952","3,602,401","2,067","1,129,775","42,640","4,870","529,457",130,"6,803","78,575",273,"387,099","75,239","243,354",392,"32,315","683,283","1,441,550","26,676","12,940","730,518","97,874","74,126",112,"315,449","165,578",112,"79,027","799,622","292,386","25,717","1,214,987","5,886","69,322",51,"22,315","94,225","320,908","55,169","1,215","26,374","21,450","88,723","417,009","15,634","1,881",696,"20,605","69,882","277,697","69,829","91,659","207,521","75,445","93,563","122,774",51,0,"2,362","10,906","202,902","1,212",0,"5,516","9,406","627,474","768,215","364,545",112,"154,642",444,"1,233",182,"1,082","91,329","200,166","8,802","27,672","496,903",0,"64,590","35,079",895,"2,013,261","1,498,351","124,388","754,239","27,323",2,"97,374","281,456","2,961","177,776","117,177","2,922,257","38,675","1,750","42,922","641,026","1,032,279","123,082","65,262","331,941","89,503","55,163",27,"122,728",741,"3,786","122,807","247,399","1,784","906,270",964,95,500,"18,944","15,582",0,"61,013",245,636,"21,780","86,292",207,"23,042","731,231","3,210,542","187,635","1,574","1,167,286","96,055",287,"16,867","329,852","204,103","356,690",38,"254,217",164,"27,633","13,341","1,248,843",348,"21,136",818,"59,853","124,182","221,550","71,899","302,077","8,428","12,684","313,142","652,939",582,"52,010","7,738,726","51,286",490,469,"1,446",67,"1,609","16,379",97,"16,964","97,651","106,986","50,114","1,437","9,168","135,817",489,"8,046","15,931","1,141","730,361","46,379","878,289","256,499","203,795","3,092,349","102,047","5,317","17,479","40,885","6,133,177","535,086","122,325","23,743","323,201",106,"2,784","10,472","12,338","137,738","227,617",37,"1,398","322,025","4,111,071","30,391","341,015","63,046","1,177,928",965,"47,433","1,786,511",601,"1,691,449","253,483",12,"194,342","50,554","106,854","471,991",,,,,
2019,2019010,Upper-middle-income countries,e,1502,,"54,279,436","1,998,161","764,852","2,336,701","78,743","8,730","1,347",62,"120,693",183,"1,520","157,399","698,310","1,080","38,823","50,518","953,828",910,"1,985","488,176","2,027","842,105","39,428","3,144","52,463",130,38,"78,270",252,"387,028","74,045","198,742",392,"7,211","681,016","7,501","12,215","1,658","705,909","56,374","58,487",21,450,"5,587",112,"73,065","329,734","291,968","25,717","1,209,633","4,984","52,932",51,"9,072","6,664","320,766","50,821","1,033","26,035","20,960","78,588","67,816","14,671","1,514",693,"20,198","67,597","238,928","57,927","86,482","4,033","64,407","93,526","8,281",51,0,"1,267","10,314","132,528","1,211",0,873,130,"558,629","733,597","19,689",104,"152,299",444,"1,233",182,5,"75,600","5,515","1,780","27,667","496,783",0,"39,447","34,497",839,"266,502","1,309,521","117,355","731,047","26,615",0,"28,930","259,239","2,897","122,016","39,846","2,663,229","32,333","1,491","15,017","608,832","935,117","102,303","52,232","331,721","1,363","28,536",27,"95,252",731,"3,742","110,380","21,451",153,"55,538",959,1,500,656,"15,292",0,"46,186",245,555,"21,670","86,290",207,"13,975","718,926","2,205,781","185,681",47,"590,416","86,023",0,"13,844","313,911",458,"63,012",37,"254,083",88,"12,120","2,782","150,866",27,"19,732",139,"55,129","110,863","213,594","64,542","292,119","8,082","1,848","266,554","498,540",582,"49,079","3,351,329","8,914",490,469,"1,446",67,"1,609","16,358",97,"8,178","58,630","36,875","50,092","1,393","1,291","94,720",437,"7,961","15,922",797,"161,189","19,784","2,648","235,278","50,057","2,955,795","33,159","5,189","15,933","37,009","5,993,552","491,518","37,962",66,"22,856",106,"2,710","10,467","7,407","132,068","202,798",37,"1,096","9,496","3,905,405","4,888","251,808","19,655","1,028,894",891,"46,695","1,553,931",438,"1,690,060","152,670",12,"165,253","43,138","105,774","456,406",,,,,
2019,2019011,Lower-middle-income countries,e,1501,,"27,958,245","1,184,435","915,287","1,609,210",248,"27,946",23,0,"74,970",0,139,"47,790","69,006",66,"29,167","1,382","114,777",101,"39,967","3,114,225",40,"287,670","3,212","1,726","476,994",0,"6,765",305,21,71,"1,194","44,612",0,"25,104","2,267","1,434,049","14,461","11,282","24,609","41,500","15,639",91,"314,999","159,991",0,"5,962","469,888",418,0,"5,354",902,"16,390",0,"13,243","87,561",142,"4,348",182,339,490,"10,135","349,193",963,367,3,407,"2,285","38,769","11,902","5,177","203,488","11,038",37,"114,493",0,0,"1,095",592,"70,374",1,0,"4,643","9,276","68,845","34,618","344,856",8,"2,343",0,0,0,"1,077","15,729","194,651","7,022",5,120,0,"25,143",582,56,"1,746,759","188,830","7,033","23,192",708,2,"68,444","22,217",64,"55,760","77,331","259,028","6,342",259,"27,905","32,194","97,162","20,779","13,030",220,"88,140","26,627",0,"27,476",10,44,"12,427","225,948","1,631","850,732",5,94,0,"18,288",290,0,"14,827",0,81,110,2,0,"9,067","12,305","1,004,761","1,954","1,527","576,870","10,032",287,"3,023","15,941","203,645","293,678",1,134,76,"15,513","10,559","1,097,977",321,"1,404",679,"4,724","13,319","7,956","7,357","9,958",346,"10,836","46,588","154,399",0,"2,931","4,387,397","42,372",0,0,0,0,0,21,0,"8,786","39,021","70,111",22,44,"7,877","41,097",52,85,9,344,"569,172","26,595","875,641","21,221","153,738","136,554","68,888",128,"1,546","3,876","139,625","43,568","84,363","23,677","300,345",0,74,5,"4,931","5,670","24,819",0,302,"312,529","205,666","25,503","89,207","43,391","149,034",74,738,"232,580",163,"1,389","100,813",0,"29,089","7,416","1,080","15,585",,,,,
2019,2019012,Low-income countries,e,1500,,"13,072,099","613,473","165,736","13,900","1,439","12,224",446,"1,166","221,613",0,"4,249",560,201,0,225,249,172,12,2,504,10,677,811,1,"101,829",0,"27,688",4,0,1,"3,998","3,517",565,22,2,"108,246","560,682","7,612",8,"38,336","1,922",0,"430,668","20,063",0,"2,062","56,507",167,0,"3,314","13,385","57,494",0,378,"818,103","1,120","2,898",0,7,0,"3,459","967,082",348,"4,013",12,"2,363",1,"13,870",3,"11,223","242,233",0,82,"51,794",0,0,2,5,"46,487",0,385,"14,723","11,238",661,"3,427","115,280",0,35,0,416,"1,057",0,0,"213,124","50,309",0,23,0,284,8,0,"451,361","1,441","1,199","212,841",11,0,"1,514","2,278",0,"1,375",1,"2,904","102,133",2,0,"11,261",0,21,"2,712","8,032","15,953","3,021",3,0,0,"9,620","176,900",199,0,"233,118",0,5,0,"75,443",186,0,298,2,0,0,0,0,"5,466","194,272",1,579,17,23,368,0,109,4,"175,111","279,043",0,0,0,8,35,"111,219",8,0,15,0,875,"2,983",36,"5,481","1,517",0,"6,024",786,846,4,"234,403","405,940",0,0,0,0,28,26,0,153,"3,143","178,636",1,"17,334","47,823",921,0,0,73,11,"801,133","50,771","1,670,480","2,511",200,"599,660","1,097,321",0,254,624,"4,007","4,596","1,126",0,"145,633",0,927,0,508,901,444,744,0,"259,161","1,212","3,428","17,127","116,645","9,354",542,843,"7,739",0,"2,463",784,0,0,"7,207","88,294","136,089",,,,,
2019,2019013,No income group available,e,,,"520,496","19,151","9,509",0,0,431,0,0,0,33,146,34,0,899,415,0,0,25,0,0,76,0,743,0,0,0,0,0,0,0,0,"21,687",75,0,0,0,0,0,0,0,882,0,0,0,0,239,"1,553",20,0,700,"60,239",0,0,0,0,0,53,"4,900",0,0,0,0,0,0,"5,979","3,420",0,0,0,0,0,0,0,0,0,0,167,0,"223,718","3,013",106,0,0,0,318,0,0,0,0,0,"7,719",0,0,991,"1,046","5,090","38,426",0,0,0,0,213,52,0,0,0,0,0,598,950,34,0,0,0,0,0,0,886,0,333,0,0,0,0,0,0,"22,383",0,0,0,387,0,0,"12,559",563,"5,136","6,613",0,0,0,0,0,295,0,0,0,0,0,0,"3,345",182,"2,720",0,0,0,14,0,0,2,0,0,0,0,15,0,559,0,0,529,11,0,0,0,"1,206",0,0,0,391,"1,087","3,832",0,44,246,0,0,0,"1,814",0,0,0,0,612,0,0,0,0,76,0,20,0,0,0,"34,592",0,226,454,0,0,0,0,0,48,50,0,0,0,0,82,0,0,0,"2,596",0,"1,918",421,0,0,28,571,0,0,0,0,0,0,,,,,
2019,2019014,Geographic regions,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
2019,2019015,Africa,,903,,"26,529,334","2,272,074","785,250","1,289","2,156","44,703",446,"1,166","407,618",0,"4,749","4,621",500,0,"15,277","11,483",35,76,"1,762","14,791",58,"1,497","18,392",1,"631,127",101,2,284,0,762,"79,183","7,245",599,102,"6,982","1,549,306","587,178","18,620",8,"135,413","16,037",0,"745,799","185,455",0,"2,962","68,329","2,845",0,"3,595","79,423","125,553",0,112,"911,710","2,968","5,786",0,"8,692","3,763","3,902","1,383,659","6,217","5,891",12,1,12,"56,836",964,"102,705","446,892",275,"93,540","157,812",0,0,78,"2,342","248,464",0,385,"20,188","20,602",0,"131,902","478,867",99,"20,075",0,416,"1,057",0,162,"413,880","58,753",95,23,0,284,498,49,"98,986","20,520","1,843","102,834","22,032",0,"10,212","61,060",336,"6,548","29,204","3,129","137,969",2,"15,804",120,49,753,"26,850","339,973","105,401","29,822",3,699,87,"36,458","299,660","13,726",161,"1,139,522",592,5,0,"94,671","21,106","6,606",564,2,412,14,0,0,"20,556","923,379",385,"188,021",51,416,"39,971",0,"5,639",189,"379,145","630,354",32,323,39,"2,872","2,383","25,084",8,99,114,202,354,"9,382","18,570","62,579",0,"1,896","4,826",63,"1,428","3,734","26,962","457,156",390,39,0,0,28,26,0,"17,039","54,214","286,675","6,784","18,707","56,980","3,362",0,794,73,11,"1,244,623","92,442","2,547,562","11,334","5,087","470,108","1,161,292",0,"2,357","6,709","176,204",847,"6,489",8,"468,819",0,927,39,"7,946","5,710",298,744,0,"580,330","8,055","7,459","168,150","179,006","50,549",595,760,"2,210",0,553,282,0,"194,312","21,937","193,916","607,784",,,,,
2019,2019016,Asia,,935,,"83,559,197","2,486,931","1,559,115","4,432,460","4,913","46,313",0,0,78,0,0,"41,974","185,296",64,"78,550","26,134","215,494",0,"45,446","7,026,940",0,"136,272","19,392",0,7,0,"34,451",45,0,"3,343",7,"295,535",101,"32,045","675,814",0,2,135,"747,751",58,"84,834",0,14,"7,653",0,"3,493","4,982,349","360,881","136,919","3,030",0,545,0,113,16,412,132,0,"14,495","2,319","74,643",861,"8,587",2,0,9,480,"2,846,685",9,0,"34,407","2,491",102,"271,899",0,0,170,"4,142","115,521",0,0,0,0,"128,203","432,126","2,594",2,"109,708",0,0,62,"1,039",35,0,0,0,39,0,2,"14,282",143,"11,889,410","4,086,876","172,357","943,285","4,219",0,"69,292","22,440",14,"131,316","604,710","76,810","2,711",0,"106,568","32,945","1,032,100","6,328","235,853",0,1,"44,181",0,"11,597",68,7,7,"1,266,764","1,603",0,89,0,0,276,299,0,"5,364",0,0,"25,917",0,0,"174,624",9,"3,475,193",2,0,"1,996,320","53,092",0,"17,720",9,28,"33,179",0,"195,562",0,"21,621","10,972","4,790,649",35,19,61,7,"67,417","2,370,392","68,089","4,182",54,"14,851","768,203","31,527",0,"135,645","4,009,990",4,0,0,0,0,0,0,0,0,"56,047",94,"2,709",32,2,"150,239",0,592,211,0,"301,575","20,111","22,078","8,757","1,127,670","3,304,104","738,115",130,"12,378","23,124","6,839,906","38,823","277,231","23,669",2,0,0,14,"34,563","162,709","15,777",0,0,718,"671,269","83,979","293,988",450,"429,447",21,"6,263","453,346",0,510,"565,531",0,0,"1,138,887",831,318,,,,,
2019,2019017,Europe,,908,,"82,304,539","311,208","868,939","488,944","1,080,239","1,759,610",43,"7,818","225,514",993,"5,631","406,226","670,382","6,089","276,223","437,204","911,777","3,250","8,314","435,166","29,276","1,263,080","464,251","2,028","32,133","5,421","2,435","192,719","5,109","1,434,948","4,864","656,803",511,"6,642","753,352","29,566","25,057","121,897","83,302","173,789","276,055","1,393","20,675","11,466","22,417","165,656","1,205,047","138,602","2,065","551,588","40,728","108,628",4,"12,272","157,955","827,071","219,900","70,097","144,524","781,491","30,506","239,522","173,533","10,193","18,515","261,283","544,487","316,978","33,757","22,820","209,210","185,722","2,642","150,888","1,448","13,545","7,531","238,236","1,322,597",0,136,"25,232","71,987","678,126","2,503,056","283,416","13,500","555,599","18,207","14,344",0,1,"21,557","88,407","43,420","38,719","91,145",209,"65,981","463,878","33,767","1,488,666","188,008","481,863","588,136","533,716","11,824","92,373","1,888,256","164,886","163,358","44,442","3,878,875","194,581",265,"26,856","711,529","55,159","286,099","230,432","1,299","15,028","85,974","3,577","544,655","71,133","144,095","22,508","113,493",627,"122,498","48,798",2,0,"32,531","118,680",0,"132,249",128,"30,613","42,244","148,576","11,769","2,781,506","85,444","30,072","4,665",32,"79,476","554,043",187,"107,205","33,525","11,864","439,310",0,"375,275",49,"137,603","5,198","984,687",198,"9,693","2,205","77,202","384,056","563,156","3,824,285","1,493,128",63,"5,325","128,886","929,979",18,"3,194,294","5,993,380","34,359","4,368","8,696","17,820",0,"10,440",968,"2,355","19,852","57,585","309,019","840,572","6,868","45,345","75,994","25,034","333,084","114,581",501,"381,218","335,671",336,"901,163","432,505","20,821","60,259","223,358","259,255","565,014","1,062,656","532,712","300,344","5,091","57,970",0,491,"35,565","638,385","2,800,200","223,606",174,648,"99,502","4,779,015","24,494","1,423,666","62,000","797,994",197,"97,451","1,455,576","1,137","324,338","469,341",1,"1,244","34,528","82,346","208,529",,,,,
2019,2019018,Latin America and the Caribbean,,904,,"11,673,288","220,861","88,624",493,344,"1,318",0,99,"9,286","1,646","7,988","305,335",865,"5,687","8,125","9,602",12,"1,660",76,219,"5,007",354,"11,806","5,443",40,166,28,"585,895","3,310",174,34,"248,391","4,116",192,"2,129",48,35,"1,775",201,341,"50,198",136,236,71,128,"298,181","142,549","4,786",37,"1,409,138",4,211,16,"33,856",514,"4,162","71,552","10,416",114,"4,372","2,976",317,"3,269",0,"22,151","112,213","103,693","5,609","73,743",82,35,586,21,280,59,8,38,"1,936","193,590","4,238",24,61,40,"13,760","91,810",293,38,"5,698",477,"11,484","10,171",21,"94,213",103,"1,278","64,489","656,380",8,"69,847","6,238",720,"20,007","2,323","2,280","1,102","2,363",2,"11,454","309,277","37,809","89,384","2,673",100,292,114,163,21,"1,187",647,"29,867",40,68,452,112,"1,633",290,98,27,527,17,363,153,0,"13,194",5,8,4,"76,045",8,217,20,297,"3,135","2,793","2,170",143,91,28,117,"36,268",16,"1,617","345,134",91,"2,992",21,"3,258",28,"3,241",48,"1,672",35,"24,049",17,"756,543","522,845","9,497","19,268","249,250","16,266",108,"35,924",522,"1,214","8,024","14,936",40,"1,817","12,060","14,051",123,"16,353",0,70,122,"2,614",526,"1,580",39,13,517,"2,473",752,"1,450",1,89,"4,176",0,"335,770",74,"3,843",27,"43,809","8,638","19,009","22,210",18,"1,287",66,89,0,"1,092","16,646",233,"2,936",36,"1,689",4,116,"8,779",105,"54,362",180,"1,191,556","3,192","192,260",56,233,"1,924,877",496,15,16,31,33,236,,,,,
2019,2019019,Northern America,,905,,"58,647,822","2,584,771","16,148","135,162","115,508","89,772",0,0,"18,502",68,"36,658","235,856","106,176","7,726","118,894","72,059","27,794","41,154","2,535","302,730","78,108","77,200","59,975","60,588","2,934","11,748","4,503","98,105","4,345","176,027",901,"490,982",90,"4,759","99,299","2,100","8,987","43,903","220,748","72,889","827,561",286,"1,118","1,692",0,"143,580","3,588,592","490,520","19,672","872,616",142,"2,609",0,"103,476","43,131","91,027","1,356,341","42,461","26,309","104,273",827,"54,818","51,820","2,371","37,914","1,184,930","532,115","271,776","1,480,174",63,"55,161","15,364","11,481","273,980",0,264,"76,734","33,744","302,303",296,190,"1,140","25,717","32,019","718,478","198,388",174,"230,475",0,"49,392",545,0,"1,089,074","27,463",115,"416,195","837,957",0,"664,255","124,124","6,904","3,371,452","128,025","566,998","303,141","152,688",0,"174,162","591,597","906,591","380,752","95,477","44,409","164,001",0,"48,374","9,762","246,217","33,410","221,451",110,"94,936","17,132",0,"47,884","3,596","3,766",710,"102,928",0,"2,222","16,953","7,761",683,960,"16,871",0,"11,575,196","8,708",115,"1,506","1,978","7,934","153,559","1,325","153,881","1,097",0,"129,389","194,101",498,"36,995","303,077","10,483","320,361",0,"31,645",0,"32,334","4,117","415,257",0,"126,962","214,622","37,081","525,775","2,055,551","458,423","802,234","1,985,700","147,971","1,084,329","50,078","130,845","210,760","411,849","95,832",0,"104,127","31,721","2,233","33,787","20,508",0,0,"108,618","45,864","62,688","7,968","80,393","40,115","1,702","3,225","22,973",0,"115,718","118,090","28,900","168,129","63,012","88,410","60,300","156,041","57,473","47,456","98,698","25,390","345,691",0,"15,995",0,"32,150","280,062","130,688","478,636","20,989","28,426",0,"49,884","414,269","27,428","797,872","76,537","533,305","21,858","325,459","66,188",0,"262,075","1,375,520",0,0,"71,339","206,440","63,035",,,,,
2019,2019020,Oceania,,909,,"8,927,925","74,580","89,844","62,408","3,872","3,068","1,328",31,592,0,63,"19,402","1,629",74,"80,186","19,468",740,327,"2,020","55,306",476,"2,391","7,924",84,116,613,"7,797","1,163",0,"37,802","1,512","46,383",0,"3,237","4,284",63,"2,740",42,"45,874",539,"68,402",158,42,63,0,"36,279","745,415","112,724","3,237","29,065",0,"1,851","22,468",571,677,"64,372",973,158,"20,514","15,170",264,"5,438","12,190",211,42,232,"2,898","49,742","12,092",0,"5,776","3,819",402,"16,888",116,21,"138,082","9,606","114,059",21,"1,247",63,137,708,"136,831","7,067",507,"117,702",0,148,21,"1,136",603,"1,110",21,698,137,0,338,"23,106",603,"642,410","107,240","76,634","95,024","101,779",983,"12,442","205,147","1,385","67,494","7,871","2,264","25,883","3,989","7,617",592,"12,322","4,983","99,705",158,"3,904","3,025",21,"3,755",296,338,"1,629","191,784",645,95,"44,552",437,42,63,"31,380",7,"6,760","12,973",95,"3,787","2,158",0,"3,031","1,089","39,798","1,639","2,310","79,646","103,278","4,397","608,127",931,42,"12,135","5,540","52,201","2,648","4,665","2,221","85,937","2,374",285,"2,107",603,"12,473","369,359","58,350","20,186","5,264","1,481","154,412","1,248",264,"20,337","34,598","1,153",21,19,13,0,47,"102,901",0,0,"17,176",476,"36,152","3,174","4,369","70,524",0,"7,236","8,305","3,721","11,154","254,111","9,342","19,789","147,420","3,364","20,620",179,"13,724","18,484","25,825",169,"89,077","10,368",402,"2,242","39,773","1,978","1,398","42,880",126,0,"2,624","4,401","19,680","10,939","1,536,960","5,000","164,221",0,"11,246","2,147","5,976","7,427","272,784","11,804",0,888,"9,521","53,752",,,,,
2019,2019021,Sustainable Development Goal (SDG) regions,f,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
2019,2019022,SUB-SAHARAN AFRICA,,947,,"23,573,485","2,200,346","768,593",742,"1,719","15,193",446,"1,166","407,590",0,"4,734","4,373",72,0,"14,018","10,086",4,62,336,"13,213",58,414,"15,641",1,"631,092",101,2,284,0,352,"79,183","6,846",599,34,"6,914","1,549,242","587,143","18,620",8,"134,562","12,386",0,"729,108","92,323",0,"2,935","62,936","2,845",0,"3,538","73,964","123,073",0,112,"909,630","2,867","5,786",0,"8,607","3,564","3,801","1,373,889","5,101","4,013",12,1,1,"14,884",3,"102,705","243,272",250,"93,540","88,378",0,0,78,"1,216","193,540",0,385,"20,188","20,574",0,"113,014","477,984",91,"16,032",0,416,"1,057",0,154,"411,710","57,288",95,23,0,284,8,49,"91,041","2,362","1,258",401,"21,938",0,"9,510","44,834",336,"4,338",96,"2,069","134,303",2,186,59,49,753,"9,314","339,973","105,354","10,101",3,699,87,"36,419","299,632","1,651",133,"1,136,716",592,5,0,"91,363","21,106","6,606",500,2,39,0,0,0,"8,426","923,364",374,"187,756",51,416,"37,109",0,"5,548",189,"378,652","607,693",32,205,39,"2,398",49,"21,863",8,99,114,202,354,"3,616","17,475","62,535",0,0,"3,772",2,"1,428","2,862","11,040","457,112",390,39,0,0,28,26,0,"17,039","4,538","280,935","6,784","18,688","56,668","2,511",0,733,73,11,"1,101,792","91,536","1,758,830","5,833","4,478",330,"1,085,119",0,"1,214","4,367",868,0,"2,399",8,"468,819",0,927,39,"1,181","2,134",0,744,0,"578,704","6,959","3,806","155,284","178,583","30,436",595,760,0,0,521,282,0,"29,089","7,630","193,891","607,752",,,,,
